WhiskeyID,Title,Type,Stock Status,Description,Image Link,Details Link,Rating,Review Count,Volume (cl),Alcohol %,Price (£)
JW1000,Yoichi Single Malt,Japanese Single Malt Whisky,In Stock,"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.",https://img.thewhiskyexchange.com/900/japan_yoi22.jpg,https://www.thewhiskyexchange.com/p/32761/yoichi-single-malt,4.5,8,70,45.0,75.95
JW1001,Yamazaki 12 Year Old,Japanese Single Malt Whisky,In Stock,"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike.",https://img.thewhiskyexchange.com/900/japan_yam1.jpg,https://www.thewhiskyexchange.com/p/2940/yamazaki-12-year-old,4.5,91,70,43.0,135.0
JW1002,Karuizawa Spirit of Asama 48%,Japanese Single Malt Whisky,In Stock,"A TWE exclusive release of Karuizawa, part of a vatting of 77 sherry casks bottled at 48% to produce a well rounded and affordable example of the distillery's character. The casks used for Spirit of Asama were filled in 1999 & 2000.",https://img.thewhiskyexchange.com/900/japan_asa1.jpg,https://www.thewhiskyexchange.com/p/18099/karuizawa-spirit-of-asama-48,,,70,48.0,1750.0
JW1003,Chichibu 2010 Cask #1000,Japanese Single Malt Whisky,In Stock,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks.",https://img.thewhiskyexchange.com/900/japan_chi2010.jpg,https://www.thewhiskyexchange.com/p/45906/chichibu-2010-cask-1000,,,70,62.2,3250.0
JW1004,Miyagikyo Single Malt,Japanese Single Malt Whisky,In Stock,"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.",https://img.thewhiskyexchange.com/900/japan_miy10.jpg,https://www.thewhiskyexchange.com/p/32762/miyagikyo-single-malt,4.5,9,70,45.0,75.95
JW1005,Ichiro's Malt Double Distilleries (46.5%),Japanese Blended Malt Whisky,In Stock,"The newer, 46.5% version of a vatting of single malt from the Hanyu distillery built by Ichiro Akuto's grandfather with malt from the Chichibu distillery built nearby by Ichiro himself. A deliciously nutty dram.",https://img.thewhiskyexchange.com/900/japan_ich12.jpg,https://www.thewhiskyexchange.com/p/47669/ichiros-malt-double-distilleries-465,4.5,2,70,46.5,115.0
JW1006,Suntory Torys Classic,Japanese Blended Whisky,In Stock,"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain.",https://img.thewhiskyexchange.com/900/japan_sun20.jpg,https://www.thewhiskyexchange.com/p/37325/suntory-torys-classic,3.5,2,70,37.0,30.45
JW1007,Yamazaki Mizunara Bot.2011,Japanese Single Malt Whisky,In Stock,,https://img.thewhiskyexchange.com/900/japan_yam58.jpg,https://www.thewhiskyexchange.com/p/56221/yamazaki-mizunara-bot2011,,,70,48.0,5000.0
JW1008,Miyagikyo 12 Year Old,Japanese Single Malt Whisky,In Stock,"Full-bodied, fruity and complex, with some sherry character, hints of toffee and some polished malt. Deservedly popular.",https://img.thewhiskyexchange.com/900/japan_miy2.jpg,https://www.thewhiskyexchange.com/p/2925/miyagikyo-12-year-old,,,70,40.0,550.0
JW1009,Hanyu 2000 Final Vintage 15 Year Old Ichiro's Malt,Japanese Single Malt Whisky,In Stock,A special release from Ichiro Akuto - a single cask bottling of whisky from the final year of Hanyu distiller's operation. Bottled at 15 years of age and at cask strength without colouring or chill-filtration. A little slice of distilling history.,https://img.thewhiskyexchange.com/900/japan_han2000v9.jpg,https://www.thewhiskyexchange.com/p/32591/hanyu-2000-final-vintage-15-year-old-ichiros-malt,,,70,46.5,1750.0
JW1010,Hakushu 10 Year Old,Japanese Single Malt Whisky,In Stock,"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky.",https://img.thewhiskyexchange.com/900/japan_hak6.jpg,https://www.thewhiskyexchange.com/p/10132/hakushu-10-year-old,5.0,1,70,40.5,375.0
JW1011,Hakushu 12 Year Old,Japanese Single Malt Whisky,In Stock,"A perennial favourite and a must-try for anyone interested in discovering Japanese whisky. Hakushu is owned by Suntory, founders of the first Japanese distillery, Yamazaki. The original Hakushu distillery was built in 1973, with another distillery building called Hakushu Higashi (east) added in 1981.",https://img.thewhiskyexchange.com/900/japan_hak1.jpg,https://www.thewhiskyexchange.com/p/2922/hakushu-12-year-old,4.5,32,70,43.0,175.0
JW1012,The House of Suntory Triology Pack 3x20cl,Suntory,In Stock,"Explore the spirits of the House of Suntory with this Suntory Trilogy set. The trilogy includes Haku vodka, Roku gin and Toki whisky, showing off why Suntory is popular for more than just its whisky.",https://img.thewhiskyexchange.com/900/sets_sun1.jpg,https://www.thewhiskyexchange.com/p/63405/the-house-of-suntory-triology-pack-3x20cl,,,60,42.0,44.95
JW1013,The Chita Whisky,Japanese Single Grain Whisky,In Stock,"Chita is Suntory's grain distillery. The flagship release is aged in a combination of wine, sherry and bourbon casks. This is a light whisky with subtle notes of mint, honey and wood spice.",https://img.thewhiskyexchange.com/900/japan_sun17.jpg,https://www.thewhiskyexchange.com/p/37317/the-chita-whisky,4.5,39,70,43.0,49.95
JW1014,Nikka Coffey Grain Whisky,Japanese Single Grain Whisky,In Stock,"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.",https://img.thewhiskyexchange.com/900/japan_nik24.jpg,https://www.thewhiskyexchange.com/p/23928/nikka-coffey-grain-whisky,4.5,51,70,45.0,56.95
JW1015,Chichibu 2009 10 Year Old Artist International 10th Anniversary,Japanese Single Malt Whisky,In Stock,,https://img.thewhiskyexchange.com/900/japan_chi2009v3.jpg,https://www.thewhiskyexchange.com/p/57939/chichibu-2009-10-year-old-artist-international-10th-anniversary,,,70,56.5,3500.0
JW1016,Akashi 5 Year Old Sherry Cask Half Litre,Japanese Single Malt Whisky,In Stock,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky.",https://img.thewhiskyexchange.com/900/japan_aka3.jpg,https://www.thewhiskyexchange.com/p/34461/akashi-5-year-old-sherry-cask-half-litre,5.0,2,50,50.0,150.0
JW1017,Hakushu Distiller's Reserve,Japanese Single Malt Whisky,In Stock,"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.",https://img.thewhiskyexchange.com/900/japan_hak16.jpg,https://www.thewhiskyexchange.com/p/23771/hakushu-distillers-reserve,4.5,28,70,43.0,66.95
JW1018,Yoichi 10 Year Old,Japanese Single Malt Whisky,In Stock,"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.",https://img.thewhiskyexchange.com/900/japan_yoi1.jpg,https://www.thewhiskyexchange.com/p/2944/yoichi-10-year-old,4.5,9,70,45.0,500.0
JW1019,Karuizawa 1984 28 Year Old Cocktail Series,Japanese Single Malt Whisky,In Stock,,https://img.thewhiskyexchange.com/900/japan_kar1984v7.jpg,https://www.thewhiskyexchange.com/p/28575/karuizawa-1984-28-year-old-cocktail-series,,,70,59.3,8000.0
JW1020,Ichiro's Malt & Grain Japanese Blended Whisky 2020,Japanese Blended Whisky,In Stock,"A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate.",https://img.thewhiskyexchange.com/900/japan_ich24.jpg,https://www.thewhiskyexchange.com/p/55785/ichiros-malt-grain-japanese-blended-whisky-2020,,,70,48.5,2000.0
JW1021,Miyagikyo 15 Year Old,Japanese Single Malt Whisky,In Stock,A top-quality malt from the Miyagikyo distillery (also sometimes known as Sendai). A previous batch of this managed a hugely impressive 92 points from Jim Murray.,https://img.thewhiskyexchange.com/900/japan_miy3.jpg,https://www.thewhiskyexchange.com/p/2926/miyagikyo-15-year-old,4.0,1,70,40.0,1000.0
JW1022,Karuizawa Spirit of Asama 55%,Japanese Single Malt Whisky,In Stock,"A exclusive bottling of whisky from Karuizawa for TWE, part of a vatting from about 77 casks and bottled at 55%. It's a different prospect to the various single casks that shoot off the shelves, offering a great tasting overview of the distillery's character unencumbered by decades of sherry-cask maturation.",https://img.thewhiskyexchange.com/900/japan_asa2.jpg,https://www.thewhiskyexchange.com/p/18100/karuizawa-spirit-of-asama-55,4.0,3,70,55.0,2000.0
JW1023,Suntory Hibiki Harmony,Japanese Blended Whisky,In Stock,"Hibiki Japanese Harmony is a blend of Japanese malt and grain whiskies from Yamazaki, Hakushu and Chita. Presented in the brand's trademark 24-faceted bottle representing the Japanese seasons, this is light, approachable and moreish with enticing notes of orange peel and white chocolate.",https://img.thewhiskyexchange.com/900/japan_hib11.jpg,https://www.thewhiskyexchange.com/p/29388/suntory-hibiki-harmony,4.0,56,70,43.0,71.95
JW1024,Ichiro's Malt Wine Wood Reserve,Japanese Blended Malt Whisky,In Stock,"Ichiro Akuto, founder of Japan's Chichibu distillery, is not only one of the most respected distillers in the country, but he's also a master whisky blender. His Wine Wood Reserve is a blended malt containing Japanese whiskies from Chichibu that have been finished in red wine casks and Scottish whisky. The result is a rich and jammy dram with lots of complexity.",https://img.thewhiskyexchange.com/900/japan_ich11.jpg,https://www.thewhiskyexchange.com/p/46187/ichiros-malt-wine-wood-reserve,5.0,1,70,46.5,115.0
JW1025,Hanyu 1985 The Joker Monochrome Label,Japanese Single Malt Whisky,In Stock,"The last and final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. The Joker ""Monochrome"", perhaps is the rarest and most sought after from this legendary series.",https://img.thewhiskyexchange.com/900/japan_han1985.jpg,https://www.thewhiskyexchange.com/p/25880/hanyu-1985-the-joker-monochrome-label,,,70,54.9,60000.0
JW1026,Suntory Toki,Japanese Blended Whisky,In Stock,"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.",https://img.thewhiskyexchange.com/900/japan_sun15.jpg,https://www.thewhiskyexchange.com/p/36362/suntory-toki,4.0,33,70,43.0,31.95
JW1027,SMWS 116.1 (Yoichi) 1986 16 Year Old,Japanese Single Malt Whisky,In Stock,,https://img.thewhiskyexchange.com/900/japan_smws_116.1.jpg,https://www.thewhiskyexchange.com/p/18547/smws-1161-yoichi-1986-16-year-old,,,70,56.6,5000.0
JW1028,Karuizawa 1981 Sherry Cask #6056,Japanese Single Malt Whisky,In Stock,"An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled.",https://img.thewhiskyexchange.com/900/japan_kar1981v4.jpg,https://www.thewhiskyexchange.com/p/21444/karuizawa-1981-sherry-cask-6056,,,70,60.3,9500.0
JW1029,Yoichi 20 Year Old,Japanese Single Malt Whisky,In Stock,A powerful cask-strength 20-year-old single malt from the Yoichi distillery that previously bested some very high-profile Scottish malts at a blind tasting in 2003 and received 95 points in Jim Murray's Whisky Bible.,https://img.thewhiskyexchange.com/900/japan_yoi4.jpg,https://www.thewhiskyexchange.com/p/2947/yoichi-20-year-old,5.0,3,70,52.0,3000.0
